name,rmsd(prot align),rmsd(prot/pep align),rmsd(pep align),modification rmsd(prot align),modification rmsd(prot/pep align),modification rmsd(pep align),error info
2N8E,0.681,0.681,0.681,1.902,1.902,1.902,
2M2S,6.675,6.675,6.675,5.204,5.204,5.204,
2KNN,2.129,2.129,2.129,2.162,2.162,2.162,
2MSQ,0.882,0.882,0.882,2.409,2.409,2.409,
4M6E,4.432,4.432,4.432,5.222,5.222,5.222,
2J15,4.118,4.118,4.118,5.567,5.567,5.567,
2M2H,2.917,2.917,2.917,4.178,4.178,4.178,
2M1P,1.310,1.310,1.310,1.977,1.977,1.977,
2M2X,9.362,9.362,9.362,6.697,6.697,6.697,
2M2G,2.630,2.630,2.630,2.382,2.382,2.382,
1T9E,7.797,7.797,7.797,5.129,5.129,5.129,
