name,rmsd(prot align),rmsd(prot/pep align),rmsd(pep align),modification rmsd(prot align),modification rmsd(prot/pep align),modification rmsd(pep align),error info
1d5eA,,,,,,,{ValueError('reference and target arrays must have the same number of atoms')}
6gb1B,1.406,1.144,0.697,0.985,1.045,0.903,
3oqza,0.474,14.031,0.330,1.630,9.726,1.367,
3or0a,0.823,15.202,0.323,2.282,12.399,2.142,
2fx8P,,,,,,,{OSError('/home/light/mqy/ncaa/data/ncaa/linear/complex/2fx8P/2fx8P.fixed_finetune.pdb is not a valid filename or a valid PDB identifier.')}
2k7lB,2.107,23.439,1.314,2.510,37.283,1.737,
2rlnS,0.434,15.382,0.205,1.585,11.246,1.583,
5ottB,16.565,15.018,9.357,36.995,34.019,10.222,
1rbdS,,,,,,,{ValueError('reference and target arrays must have the same number of atoms')}
1d5dA,,,,,,,{ValueError('reference and target arrays must have the same number of atoms')}
4o37A,11.866,9.138,5.519,7.965,9.611,5.675,
1fevA,0.763,12.944,0.183,0.885,17.511,0.532,
1d5hA,,,,,,,{ValueError('reference and target arrays must have the same number of atoms')}
3kmzC,42.577,37.416,4.133,39.715,34.063,4.470,
4okfA,0.383,12.910,0.291,1.346,10.991,1.337,
5otuB,17.774,15.653,8.545,36.950,33.409,10.764,
1z3pS,0.413,15.317,0.206,1.550,11.147,1.506,
1z3lS,0.593,15.420,0.146,0.585,10.609,0.422,
4yjwb,1.730,14.895,1.050,0.855,9.476,1.457,
4lkaB,0.692,0.640,0.448,1.461,1.400,1.162,
3oqyb,1.320,14.775,0.347,1.696,10.087,1.418,
1z3mS,0.563,15.302,0.201,0.378,10.675,0.347,
